id,locationID,assigneeID,openDate,closeDate,status,title,additionalInfo,priority,requestDate
1,2,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31
2,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31
3,2,,2022-02-15,,2,titel,updating....ggg,2,2015-03-31
4,2,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31
5,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31
6,2,,2022-02-15,,2,titel,updating....ggg,2,2015-03-31
7,2,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31
8,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31
9,2,,2022-02-15,,2,titel,updating....ggg,2,2015-03-31
10,2,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31
11,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31
12,2,,2022-02-15,,2,titel,updating....ggg,2,2015-03-31
13,2,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31
14,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31
15,2,,2022-02-15,,2,titel,updating....ggg,2,2015-03-31
16,2,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31
17,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31
18,2,,2022-02-15,,2,titel,updating....ggg,2,2015-03-31
19,2,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31
20,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31
21,2,,2022-02-15,,2,titel,updating....ggg,2,2015-03-31
22,2,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31
23,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31
24,2,,2022-02-15,,2,titel,updating....ggg,2,2015-03-31
