id,startID,endID,isDeleted
1,1,22,0
2,2,29,0
3,3,26,0
4,4,30,0
5,5,9,0
6,10,11,0
7,11,53,0
8,11,12,0
9,12,7,0
10,12,13,0
11,13,14,0
12,14,48,0
13,15,14,0
14,16,56,0
15,17,16,0
16,18,17,0
17,18,22,0
18,19,22,0
19,20,18,0
20,21,20,0
21,23,20,0
22,23,49,0
23,24,23,0
24,25,24,0
25,26,27,0
26,27,16,0
27,27,41,0
28,28,25,0
29,28,29,0
30,28,30,0
31,31,30,0
32,31,57,0
33,31,37,0
34,32,33,0
35,33,34,0
36,34,35,0
37,35,40,0
38,36,35,0
39,36,42,0
40,37,8,0
41,38,37,0
42,38,43,0
43,40,11,0
44,40,45,0
45,41,25,0
46,41,6,0
47,42,5,0
48,44,32,0
49,46,13,0
50,47,39,0
51,50,29,0
52,51,26,0
53,52,38,0
54,52,39,0
55,54,19,0
56,55,34,0
57,56,15,0
58,56,76,0
59,56,101,0
60,57,32,0
61,57,77,0
62,57,102,0
63,60,61,0
64,60,63,0
65,61,70,0
66,61,62,0
67,62,73,0
68,63,64,0
69,64,71,0
70,64,72,0
71,64,65,0
72,65,66,0
73,66,74,0
74,66,67,0
75,67,75,0
76,67,68,0
77,68,78,0
78,68,77,0
79,69,59,0
80,71,58,0
81,73,53,0
82,76,60,0
83,76,101,0
84,77,69,0
85,77,102,0
86,84,98,0
87,85,84,0
88,85,83,0
89,86,85,0
90,87,100,0
91,87,86,0
92,88,89,0
93,89,81,0
94,89,90,0
95,90,99,0
96,90,91,0
97,91,92,0
98,91,93,0
99,92,79,0
100,93,82,0
101,93,94,0
102,94,95,0
103,95,96,0
104,96,97,0
105,97,80,0
106,97,88,0
107,101,88,0
108,102,87,0
109,103,104,0
110,104,109,0
111,105,112,0
112,106,115,0
113,107,108,0
114,109,114,0
115,110,113,0
116,111,106,0
117,111,112,0
118,113,107,0
119,114,105,0
120,114,56,0
121,114,76,0
122,114,101,0
123,115,110,0
124,115,57,0
125,22,1,0
126,29,2,0
127,26,3,0
128,30,4,0
129,9,5,0
130,11,10,0
131,53,11,0
132,12,11,0
133,7,12,0
134,13,12,0
135,14,13,0
136,48,14,0
137,14,15,0
138,56,16,0
139,16,17,0
140,17,18,0
141,22,18,0
142,22,19,0
143,18,20,0
144,20,21,0
145,20,23,0
146,49,23,0
147,23,24,0
148,24,25,0
149,27,26,0
150,16,27,0
151,41,27,0
152,25,28,0
153,29,28,0
154,30,28,0
155,30,31,0
156,57,31,0
157,37,31,0
158,33,32,0
159,34,33,0
160,35,34,0
161,40,35,0
162,35,36,0
163,42,36,0
164,8,37,0
165,37,38,0
166,43,38,0
167,11,40,0
168,45,40,0
169,25,41,0
170,6,41,0
171,5,42,0
172,32,44,0
173,13,46,0
174,39,47,0
175,29,50,0
176,26,51,0
177,38,52,0
178,39,52,0
179,19,54,0
180,34,55,0
181,15,56,0
182,76,56,0
183,101,56,0
184,32,57,0
185,77,57,0
186,102,57,0
187,61,60,0
188,63,60,0
189,70,61,0
190,62,61,0
191,73,62,0
192,64,63,0
193,71,64,0
194,72,64,0
195,65,64,0
196,66,65,0
197,74,66,0
198,67,66,0
199,75,67,0
200,68,67,0
201,78,68,0
202,77,68,0
203,59,69,0
204,58,71,0
205,53,73,0
206,60,76,0
207,101,76,0
208,69,77,0
209,102,77,0
210,98,84,0
211,84,85,0
212,83,85,0
